emplyeeId,date,totalMinutes,totalData
1903,10/27/2017,21,1.13
1905,8/12/2018,74,1.54
1910,4/16/2018,16,0.33
1909,4/29/2018,50,0.14
1909,7/14/2018,49,0.29
1904,3/20/2018,71,1.39
1904,12/2/2017,60,0.7
1905,4/23/2018,88,0.95
1908,11/2/2017,76,1.01
1904,4/17/2018,80,0.43
1903,12/29/2017,5,1.29
1908,11/28/2017,38,0.18
1904,1/26/2018,11,0.71
1909,2/16/2018,89,0.74
1909,3/12/2018,4,0.47
1908,3/26/2018,49,0.82
1909,12/3/2017,42,1.37
1911,10/13/2017,58,1.29
1904,10/22/2017,20,1.18
1911,11/13/2017,27,1.51
1908,2/9/2018,91,0.11
1907,6/12/2018,86,0.86
1906,7/23/2018,23,0.42
1909,4/18/2018,52,0.36
1909,1/29/2018,96,1.37
1911,1/2/2018,80,0.39
1909,11/2/2017,13,0.61
1910,5/28/2018,64,1.39
1911,8/27/2018,100,0.86
1905,1/4/2018,44,1.42
1909,11/8/2017,52,1.66
1910,10/8/2017,37,1.29
1908,5/1/2018,41,0.4
1911,3/26/2018,90,0.58
1908,12/25/2017,1,1.71
1906,12/25/2017,37,0.21
1906,1/8/2018,96,0.05
1906,11/12/2017,33,1.15
1906,8/23/2018,88,0.11
1903,12/3/2017,5,0.96
1911,1/24/2018,94,0.64
1908,3/14/2018,99,0.31
1905,5/21/2018,84,1.64
1903,12/2/2017,49,1.94
1904,9/14/2018,16,0.28
1908,5/9/2018,97,1.96
1907,3/20/2018,97,0.11
1906,6/6/2018,100,0.55
1903,10/17/2017,14,0.23
1908,2/16/2018,5,1.2
1911,1/28/2018,60,0.59
1910,10/17/2017,70,0.8
1906,5/27/2018,7,1.76
1903,9/22/2017,96,0.35
1905,6/29/2018,75,0.03
1910,6/4/2018,4,0.42
1904,1/29/2018,34,0.68
1909,5/25/2018,53,1.48
1911,4/29/2018,53,0.64
1909,1/25/2018,39,0.92
1910,10/23/2017,49,0.44
1910,9/8/2018,52,0.23
1911,4/10/2018,54,1.6
1911,9/1/2018,55,1.89
1910,2/11/2018,97,0.64
1910,3/7/2018,2,0.47
1905,4/23/2018,28,0.28
1905,5/17/2018,65,1.9
1905,1/22/2018,41,0.87
1908,5/27/2018,73,0.13
1905,11/27/2017,24,1.55
1910,5/29/2018,53,0.61
1911,9/27/2017,58,0.85
1903,6/11/2018,23,1.61
1903,5/30/2018,10,0.16
1907,2/25/2018,95,0.14
1911,4/18/2018,15,1.16
1904,2/19/2018,2,1.84
1908,1/5/2018,64,0.27
1908,6/13/2018,99,1.21
1910,8/3/2018,21,0.47
1908,1/23/2018,20,0.65
1908,6/14/2018,11,1.44
1904,11/6/2017,50,1.06
1905,11/25/2017,6,0.04
1908,9/1/2018,98,0.64
1908,12/7/2017,43,0.63
1907,6/23/2018,80,1.57
1906,5/8/2018,62,1.78
1904,4/22/2018,100,1.57
1904,10/14/2017,100,1.3
1906,5/29/2018,33,1.2
1910,7/14/2018,44,0.47
1909,12/18/2017,52,1.65
1905,12/22/2017,70,0.12
1908,7/28/2018,98,1.26
1907,3/29/2018,30,0.94
1907,11/29/2017,17,0.36
1905,9/21/2017,100,1.6
1906,4/16/2018,97,1.86
1911,6/17/2018,9,1.87
1903,9/27/2017,98,1.82
1909,6/26/2018,6,0.08
1903,4/4/2018,73,1.99
1904,5/3/2018,60,1.1
1904,7/30/2018,18,0.54
1906,5/9/2018,35,1.94
1909,10/3/2017,5,0.05
1905,8/23/2018,75,0.87
1903,7/28/2018,38,1.52
1911,12/22/2017,20,0.11
1907,2/11/2018,61,1.84
1905,1/22/2018,69,0.43
1906,11/26/2017,2,0.84
1905,11/2/2017,36,1.5
1907,3/19/2018,11,0.93
1903,9/8/2018,21,0.83
1905,12/26/2017,59,1.47
1905,9/14/2018,53,1.91
1904,7/1/2018,73,1.97
1906,10/15/2017,27,1.38
1904,9/1/2018,74,0.9
1910,5/10/2018,18,0.1
1903,8/22/2018,4,1.26
1907,7/18/2018,83,1.33
1909,11/11/2017,71,1.29
1906,9/25/2017,100,0.66
1906,5/10/2018,16,0.56
